FIPStxt,State,Area_Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Civilian_labor_force_2021,Civilian_labor_force_2022,Civilian_labor_force_2023,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Med_HH_Income_Percent_of_State_Total_2022,Median_Household_Income_2022,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployment_rate_2019,Unemployment_rate_2020,Unemployment_rate_2021,Unemployment_rate_2022,Unemployment_rate_2023,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,BIRTHS_2023,CENSUS_2020_POP,DEATHS_2020,DEATHS_2021,DEATHS_2022,DEATHS_2023,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,DOMESTIC_MIG_2023,ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,GQ_ESTIMATES_2023,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,INTERNATIONAL_MIG_2023,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,NATURAL_CHG_2023,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,NET_MIG_2023,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,N_POP_CHG_2023,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,POP_ESTIMATE_2023,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,RESIDUAL_2023,R_BIRTH_2021,R_BIRTH_2022,R_BIRTH_2023,R_DEATH_2021,R_DEATH_2022,R_DEATH_2023,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_NATURAL_CHG_2023,R_NET_MIG_2021,R_NET_MIG_2022,R_NET_MIG_2023,"Bachelor's degree or higher, 2019-23","High school graduate (or equivalency), 2019-23","Less than high school graduate, 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23","Some college or associate degree, 2019-23"
11001,DC,District of Columbia,400641.0,386235.0,377737.0,388387.0,398251.0,378443.0,355694.0,352029.0,369952.0,378714.0,100.0,99897.0,22198.0,30541.0,25708.0,18435.0,19537.0,5.5,7.9,6.8,4.7,4.9,2187.0,8508.0,8399.0,7627.0,689545.0,2004.0,5837.0,5572.0,5020.0,-15475.0,-6551.0,-4917.0,-1509.0,689548.0,21719.0,38289.0,36723.0,37601.0,40699.0,50.0,1745.0,4527.0,6969.0,183.0,2671.0,2827.0,2607.0,-15425.0,-4806.0,-390.0,5460.0,-18709.0,-1802.0,1912.0,8023.0,670839.0,669037.0,670949.0,678972.0,-3467.0,333.0,-525.0,-44.0,12.7,12.5,11.3,8.7,8.3,7.4,-9.8,-7.3,-2.2,2.6,6.8,10.3,4.0,4.2,3.9,-7.2,-0.6,8.1,307906.0,70322.0,34651.0,14.7659195,14.51716122,7.153297028,63.56362225,71527.0
12000,FL,Florida,10256297.0,10077028.0,10320373.0,10692183.0,10988566.0,9922941.0,9257738.0,9838506.0,10370751.0,10668886.0,100.0,69287.0,333356.0,819290.0,481867.0,321432.0,319680.0,3.3,8.1,4.7,3.0,2.9,50294.0,207942.0,222003.0,223578.0,21538187.0,56383.0,250389.0,260220.0,231181.0,61782.0,244619.0,317923.0,194438.0,21538216.0,470385.0,475056.0,479972.0,480002.0,464639.0,2840.0,46865.0,121233.0,178432.0,-6089.0,-42447.0,-38217.0,-7603.0,64622.0,291484.0,439156.0,372870.0,53083.0,239409.0,414813.0,365205.0,21591299.0,21830708.0,22245521.0,22610726.0,-5450.0,-9628.0,13874.0,-62.0,9.6,10.1,10.0,11.5,11.8,10.3,11.3,14.4,8.7,2.2,5.5,8.0,-2.0,-1.7,-0.3,13.4,19.9,16.6,5263931.0,4346402.0,1643437.0,28.99963591,27.42157735,10.3684921,33.21029464,4596529.0
13000,GA,Georgia,5165423.0,5082864.0,5156388.0,5222263.0,5305623.0,4980501.0,4754102.0,4954094.0,5058165.0,5135833.0,100.0,72742.0,184922.0,328762.0,202294.0,164098.0,169790.0,3.6,6.5,3.9,3.1,3.2,29847.0,121276.0,125599.0,125664.0,10711908.0,24771.0,109501.0,110380.0,97847.0,11606.0,35341.0,80599.0,58206.0,10713771.0,255871.0,234733.0,251794.0,254664.0,257042.0,730.0,10161.0,27010.0,30119.0,5076.0,11775.0,15219.0,27817.0,12336.0,45502.0,107609.0,88325.0,18619.0,57995.0,122765.0,116077.0,10732390.0,10790385.0,10913150.0,11029227.0,1207.0,718.0,-63.0,-65.0,11.3,11.6,11.5,10.2,10.2,8.9,3.3,7.4,5.3,0.9,2.5,2.7,1.1,1.4,2.5,4.2,9.9,8.1,2480907.0,1950698.0,801324.0,27.85212035,26.89482784,11.04808178,34.20497004,2020131.0
15000,HI,Hawaii,686066.0,665964.0,670193.0,672727.0,676355.0,668769.0,588159.0,630151.0,650672.0,656336.0,100.0,93683.0,17297.0,77805.0,40042.0,22055.0,20019.0,2.5,11.7,6.0,3.3,3.0,3836.0,15528.0,15746.0,15167.0,1455271.0,2843.0,12152.0,13375.0,12812.0,-4831.0,-9982.0,-15664.0,-11193.0,1455274.0,38589.0,40519.0,40072.0,40128.0,40759.0,119.0,2043.0,5917.0,4627.0,993.0,3376.0,2371.0,2355.0,-4712.0,-7939.0,-9747.0,-6566.0,-4093.0,-4436.0,-7346.0,-4261.0,1451181.0,1446745.0,1439399.0,1435138.0,-374.0,127.0,30.0,-50.0,10.7,10.9,10.6,8.4,9.3,8.9,-6.9,-10.9,-7.8,1.4,4.1,3.2,2.3,1.6,1.6,-5.5,-6.8,-4.6,364398.0,273812.0,72950.0,30.7773098,26.65223473,7.100786391,35.46966908,316191.0
16000,ID,Idaho,888611.0,899807.0,921718.0,944919.0,961506.0,862940.0,850130.0,888950.0,918106.0,931748.0,100.0,72634.0,25671.0,49677.0,32768.0,26813.0,29758.0,2.9,5.5,3.6,2.8,3.1,5467.0,21850.0,22418.0,22456.0,1839106.0,3629.0,17141.0,18938.0,16817.0,8814.0,51524.0,28586.0,15389.0,1839117.0,49640.0,50083.0,50140.0,50256.0,49704.0,58.0,698.0,1779.0,4664.0,1838.0,4709.0,3480.0,5639.0,8872.0,52222.0,30365.0,20053.0,10222.0,55198.0,34459.0,25730.0,1849339.0,1904537.0,1938996.0,1964726.0,-488.0,-1733.0,614.0,38.0,11.6,11.7,11.5,9.1,9.9,8.6,27.5,14.9,7.9,0.4,0.9,2.4,2.5,1.8,2.9,27.8,15.8,10.3,388032.0,322573.0,103570.0,34.5686275,25.92365784,8.323428317,31.18428634,430144.0
17000,IL,Illinois,6543691.0,6321066.0,6327675.0,6421708.0,6437855.0,6283464.0,5735263.0,5942191.0,6127480.0,6150672.0,100.0,76744.0,260227.0,585803.0,385484.0,294228.0,287183.0,4.0,9.3,6.1,4.6,4.5,33452.0,131888.0,129614.0,127235.0,12812508.0,35296.0,128385.0,127064.0,116782.0,-22545.0,-115656.0,-142403.0,-83839.0,12813469.0,278270.0,278180.0,278163.0,278186.0,276332.0,504.0,11447.0,31224.0,40492.0,-1844.0,3503.0,2550.0,10453.0,-22041.0,-104209.0,-111179.0,-43347.0,-23112.0,-100016.0,-107826.0,-32826.0,12790357.0,12690341.0,12582515.0,12549689.0,773.0,690.0,803.0,68.0,10.4,10.3,10.1,10.1,10.1,9.3,-9.1,-11.3,-6.7,0.9,2.5,3.2,0.3,0.2,0.8,-8.2,-8.8,-3.4,3249494.0,2207546.0,851323.0,27.81042791,25.2619897,9.742090473,37.18549192,2430244.0
18000,IN,Indiana,3399870.0,3328778.0,3332745.0,3373887.0,3401387.0,3287462.0,3086279.0,3201829.0,3270662.0,3288017.0,100.0,66768.0,112408.0,242499.0,130916.0,103225.0,113370.0,3.3,7.3,3.9,3.1,3.3,19436.0,77712.0,80234.0,79587.0,6785528.0,19149.0,77868.0,79739.0,72079.0,1596.0,16132.0,5011.0,4599.0,6785442.0,178345.0,178175.0,178459.0,178474.0,178370.0,342.0,6065.0,15475.0,17869.0,287.0,-156.0,495.0,7508.0,1938.0,22197.0,20486.0,22468.0,3656.0,24700.0,18476.0,29925.0,6789098.0,6813798.0,6832274.0,6862199.0,1431.0,2659.0,-2505.0,-51.0,11.4,11.8,11.6,11.4,11.7,10.5,2.4,0.7,0.7,0.9,2.3,2.6,0.0,0.1,1.1,3.3,3.0,3.3,1313086.0,1496214.0,445651.0,28.60859903,32.81671939,9.774540149,28.80014143,1304353.0
19000,IA,Iowa,1742078.0,1668401.0,1679982.0,1706493.0,1709402.0,1695474.0,1582202.0,1615303.0,1658263.0,1659106.0,100.0,69708.0,46604.0,86199.0,64679.0,48230.0,50296.0,2.7,5.2,3.8,2.8,2.9,9104.0,35887.0,36848.0,36898.0,3190369.0,8036.0,35499.0,35708.0,33119.0,-1270.0,1805.0,-7990.0,-3603.0,3190427.0,98575.0,98529.0,98261.0,97595.0,98596.0,199.0,3701.0,9355.0,7112.0,1068.0,388.0,1140.0,3779.0,-1071.0,5506.0,1365.0,3509.0,477.0,7040.0,1749.0,7311.0,3190904.0,3197944.0,3199693.0,3207004.0,480.0,1146.0,-756.0,23.0,11.2,11.5,11.5,11.1,11.2,10.3,0.6,-2.5,-1.1,1.2,2.9,2.2,0.1,0.4,1.2,1.7,0.4,1.1,660619.0,649969.0,145119.0,31.99143555,30.36562895,6.779753662,30.86318183,684769.0
20000,KS,Kansas,1504415.0,1501827.0,1498226.0,1502603.0,1510988.0,1456662.0,1414596.0,1448294.0,1463010.0,1470936.0,100.0,68827.0,47753.0,87231.0,49932.0,39593.0,40052.0,3.2,5.8,3.3,2.6,2.7,8510.0,34168.0,34547.0,34768.0,2937880.0,6984.0,32824.0,33274.0,30329.0,-1920.0,-4975.0,-7004.0,-4574.0,2937835.0,86870.0,86399.0,87004.0,87026.0,86905.0,135.0,2069.0,5518.0,3932.0,1526.0,1344.0,1273.0,4439.0,-1785.0,-2906.0,-1486.0,-642.0,289.0,-178.0,-1230.0,3830.0,2938124.0,2937946.0,2936716.0,2940546.0,548.0,1384.0,-1017.0,33.0,11.6,11.8,11.8,11.2,11.3,10.3,-1.7,-2.4,-1.6,0.7,1.9,1.3,0.5,0.4,1.5,-1.0,-0.5,-0.2,679664.0,495115.0,156595.0,31.13439091,25.60993083,8.09991036,35.1557679,601919.0
21000,KY,Kentucky,2064637.0,2005210.0,2010884.0,2030274.0,2026263.0,1979803.0,1874863.0,1921355.0,1948312.0,1941994.0,100.0,59246.0,84834.0,130347.0,89529.0,81962.0,84269.0,4.1,6.5,4.5,4.0,4.2,12579.0,51364.0,52384.0,52380.0,4505836.0,12785.0,58401.0,61410.0,54385.0,1010.0,3216.0,9400.0,8965.0,4506297.0,125292.0,116951.0,120265.0,121207.0,125368.0,122.0,1757.0,4436.0,7627.0,-206.0,-7037.0,-9026.0,-2005.0,1132.0,4973.0,13836.0,16592.0,1858.0,-555.0,3963.0,14591.0,4508155.0,4507600.0,4511563.0,4526154.0,932.0,1509.0,-847.0,4.0,11.4,11.6,11.6,13.0,13.6,12.0,0.7,2.1,2.0,0.4,1.0,1.7,-1.6,-2.0,-0.4,1.1,3.1,3.7,830856.0,1006715.0,352966.0,28.83608601,32.70512193,11.46679653,26.99199553,887620.0
