FIPS_Code,State,Area_Name,Attribute,Value
6000,CA,California,Median_Household_Income_2022,91517
6000,CA,California,Med_HH_Income_Percent_of_State_Total_2022,100
8000,CO,Colorado,Civilian_labor_force_2019,3104684
8000,CO,Colorado,Employed_2019,3022060
8000,CO,Colorado,Unemployed_2019,82624
8000,CO,Colorado,Unemployment_rate_2019,2.7
8000,CO,Colorado,Civilian_labor_force_2020,3082228
8000,CO,Colorado,Employed_2020,2873752
8000,CO,Colorado,Unemployed_2020,208476
8000,CO,Colorado,Unemployment_rate_2020,6.8
8000,CO,Colorado,Civilian_labor_force_2021,3149673
8000,CO,Colorado,Employed_2021,2977479
8000,CO,Colorado,Unemployed_2021,172194
8000,CO,Colorado,Unemployment_rate_2021,5.5
8000,CO,Colorado,Civilian_labor_force_2022,3186932
8000,CO,Colorado,Employed_2022,3089081
8000,CO,Colorado,Unemployed_2022,97851
8000,CO,Colorado,Unemployment_rate_2022,3.1
8000,CO,Colorado,Civilian_labor_force_2023,3230482
8000,CO,Colorado,Employed_2023,3128115
8000,CO,Colorado,Unemployed_2023,102367
8000,CO,Colorado,Unemployment_rate_2023,3.2
8000,CO,Colorado,Median_Household_Income_2022,89096
8000,CO,Colorado,Med_HH_Income_Percent_of_State_Total_2022,100
9000,CT,Connecticut,Civilian_labor_force_2019,1931826
9000,CT,Connecticut,Employed_2019,1862314
9000,CT,Connecticut,Unemployed_2019,69512
9000,CT,Connecticut,Unemployment_rate_2019,3.6
9000,CT,Connecticut,Civilian_labor_force_2020,1874247
9000,CT,Connecticut,Employed_2020,1724812
9000,CT,Connecticut,Unemployed_2020,149435
9000,CT,Connecticut,Unemployment_rate_2020,8
9000,CT,Connecticut,Civilian_labor_force_2021,1842166
9000,CT,Connecticut,Employed_2021,1724540
9000,CT,Connecticut,Unemployed_2021,117626
9000,CT,Connecticut,Unemployment_rate_2021,6.4
9000,CT,Connecticut,Civilian_labor_force_2022,1912008
9000,CT,Connecticut,Employed_2022,1833670
9000,CT,Connecticut,Unemployed_2022,78338
9000,CT,Connecticut,Unemployment_rate_2022,4.1
9000,CT,Connecticut,Civilian_labor_force_2023,1893200
9000,CT,Connecticut,Employed_2023,1822088
9000,CT,Connecticut,Unemployed_2023,71112
9000,CT,Connecticut,Unemployment_rate_2023,3.8
9000,CT,Connecticut,Median_Household_Income_2022,88182
9000,CT,Connecticut,Med_HH_Income_Percent_of_State_Total_2022,100
10000,DE,Delaware,Civilian_labor_force_2019,485873
10000,DE,Delaware,Employed_2019,468539
10000,DE,Delaware,Unemployed_2019,17334
10000,DE,Delaware,Unemployment_rate_2019,3.6
10000,DE,Delaware,Civilian_labor_force_2020,486701
10000,DE,Delaware,Employed_2020,450325
10000,DE,Delaware,Unemployed_2020,36376
10000,DE,Delaware,Unemployment_rate_2020,7.5
10000,DE,Delaware,Civilian_labor_force_2021,493627
10000,DE,Delaware,Employed_2021,466623
10000,DE,Delaware,Unemployed_2021,27004
