FIPStxt,State,Area_Name,Attribute,Value
1000,AL,Alabama,R_INTERNATIONAL_MIG_2023,1.1
1000,AL,Alabama,R_DOMESTIC_MIG_2021,5.5
1000,AL,Alabama,R_DOMESTIC_MIG_2022,5.6
1000,AL,Alabama,R_DOMESTIC_MIG_2023,6
1000,AL,Alabama,R_NET_MIG_2021,5.9
1000,AL,Alabama,R_NET_MIG_2022,6.5
1000,AL,Alabama,R_NET_MIG_2023,7.1
2000,AK,Alaska,CENSUS_2020_POP,733391
2000,AK,Alaska,ESTIMATES_BASE_2020,733374
2000,AK,Alaska,POP_ESTIMATE_2020,732964
2000,AK,Alaska,POP_ESTIMATE_2021,734923
2000,AK,Alaska,POP_ESTIMATE_2022,733276
2000,AK,Alaska,POP_ESTIMATE_2023,733406
2000,AK,Alaska,N_POP_CHG_2020,-410
2000,AK,Alaska,N_POP_CHG_2021,1959
2000,AK,Alaska,N_POP_CHG_2022,-1647
2000,AK,Alaska,N_POP_CHG_2023,130
2000,AK,Alaska,BIRTHS_2020,2406
2000,AK,Alaska,BIRTHS_2021,9453
2000,AK,Alaska,BIRTHS_2022,9356
2000,AK,Alaska,BIRTHS_2023,9266
2000,AK,Alaska,DEATHS_2020,1171
2000,AK,Alaska,DEATHS_2021,5330
2000,AK,Alaska,DEATHS_2022,6340
2000,AK,Alaska,DEATHS_2023,5581
2000,AK,Alaska,NATURAL_CHG_2020,1235
2000,AK,Alaska,NATURAL_CHG_2021,4123
2000,AK,Alaska,NATURAL_CHG_2022,3016
2000,AK,Alaska,NATURAL_CHG_2023,3685
2000,AK,Alaska,INTERNATIONAL_MIG_2020,63
2000,AK,Alaska,INTERNATIONAL_MIG_2021,873
2000,AK,Alaska,INTERNATIONAL_MIG_2022,2356
2000,AK,Alaska,INTERNATIONAL_MIG_2023,2004
2000,AK,Alaska,DOMESTIC_MIG_2020,-1663
2000,AK,Alaska,DOMESTIC_MIG_2021,-2948
2000,AK,Alaska,DOMESTIC_MIG_2022,-7202
2000,AK,Alaska,DOMESTIC_MIG_2023,-5543
2000,AK,Alaska,NET_MIG_2020,-1600
2000,AK,Alaska,NET_MIG_2021,-2075
2000,AK,Alaska,NET_MIG_2022,-4846
2000,AK,Alaska,NET_MIG_2023,-3539
2000,AK,Alaska,RESIDUAL_2020,-45
2000,AK,Alaska,RESIDUAL_2021,-89
2000,AK,Alaska,RESIDUAL_2022,183
2000,AK,Alaska,RESIDUAL_2023,-16
2000,AK,Alaska,GQ_ESTIMATES_BASE_2020,30285
2000,AK,Alaska,GQ_ESTIMATES_2020,30262
2000,AK,Alaska,GQ_ESTIMATES_2021,30654
2000,AK,Alaska,GQ_ESTIMATES_2022,29833
2000,AK,Alaska,GQ_ESTIMATES_2023,29815
2000,AK,Alaska,R_BIRTH_2021,12.9
2000,AK,Alaska,R_BIRTH_2022,12.7
2000,AK,Alaska,R_BIRTH_2023,12.6
2000,AK,Alaska,R_DEATH_2021,7.3
2000,AK,Alaska,R_DEATH_2022,8.6
2000,AK,Alaska,R_DEATH_2023,7.6
2000,AK,Alaska,R_NATURAL_CHG_2021,5.6
2000,AK,Alaska,R_NATURAL_CHG_2022,4.1
2000,AK,Alaska,R_NATURAL_CHG_2023,5
2000,AK,Alaska,R_INTERNATIONAL_MIG_2021,1.2
2000,AK,Alaska,R_INTERNATIONAL_MIG_2022,3.2
2000,AK,Alaska,R_INTERNATIONAL_MIG_2023,2.7
2000,AK,Alaska,R_DOMESTIC_MIG_2021,-4
2000,AK,Alaska,R_DOMESTIC_MIG_2022,-9.8
2000,AK,Alaska,R_DOMESTIC_MIG_2023,-7.6
2000,AK,Alaska,R_NET_MIG_2021,-2.8
2000,AK,Alaska,R_NET_MIG_2022,-6.6
2000,AK,Alaska,R_NET_MIG_2023,-4.8
4000,AZ,Arizona,CENSUS_2020_POP,7151502
4000,AZ,Arizona,ESTIMATES_BASE_2020,7157902
4000,AZ,Arizona,POP_ESTIMATE_2020,7186683
4000,AZ,Arizona,POP_ESTIMATE_2021,7272487
4000,AZ,Arizona,POP_ESTIMATE_2022,7365684
4000,AZ,Arizona,POP_ESTIMATE_2023,7431344
4000,AZ,Arizona,N_POP_CHG_2020,28781
4000,AZ,Arizona,N_POP_CHG_2021,85804
4000,AZ,Arizona,N_POP_CHG_2022,93197
4000,AZ,Arizona,N_POP_CHG_2023,65660
4000,AZ,Arizona,BIRTHS_2020,18110
4000,AZ,Arizona,BIRTHS_2021,75693
4000,AZ,Arizona,BIRTHS_2022,79137
4000,AZ,Arizona,BIRTHS_2023,78494
4000,AZ,Arizona,DEATHS_2020,18025
4000,AZ,Arizona,DEATHS_2021,80276
4000,AZ,Arizona,DEATHS_2022,79807
4000,AZ,Arizona,DEATHS_2023,70792
4000,AZ,Arizona,NATURAL_CHG_2020,85
4000,AZ,Arizona,NATURAL_CHG_2021,-4583
4000,AZ,Arizona,NATURAL_CHG_2022,-670
4000,AZ,Arizona,NATURAL_CHG_2023,7702
4000,AZ,Arizona,INTERNATIONAL_MIG_2020,253
4000,AZ,Arizona,INTERNATIONAL_MIG_2021,8010
4000,AZ,Arizona,INTERNATIONAL_MIG_2022,22296
4000,AZ,Arizona,INTERNATIONAL_MIG_2023,21635
4000,AZ,Arizona,DOMESTIC_MIG_2020,29980
4000,AZ,Arizona,DOMESTIC_MIG_2021,82290
4000,AZ,Arizona,DOMESTIC_MIG_2022,69798
4000,AZ,Arizona,DOMESTIC_MIG_2023,36179
4000,AZ,Arizona,NET_MIG_2020,30233
4000,AZ,Arizona,NET_MIG_2021,90300
4000,AZ,Arizona,NET_MIG_2022,92094
4000,AZ,Arizona,NET_MIG_2023,57814
4000,AZ,Arizona,RESIDUAL_2020,-1537
4000,AZ,Arizona,RESIDUAL_2021,87
4000,AZ,Arizona,RESIDUAL_2022,1773
4000,AZ,Arizona,RESIDUAL_2023,144
4000,AZ,Arizona,GQ_ESTIMATES_BASE_2020,166668
4000,AZ,Arizona,GQ_ESTIMATES_2020,165653
4000,AZ,Arizona,GQ_ESTIMATES_2021,150826
4000,AZ,Arizona,GQ_ESTIMATES_2022,161194
4000,AZ,Arizona,GQ_ESTIMATES_2023,162728
4000,AZ,Arizona,R_BIRTH_2021,10.5
4000,AZ,Arizona,R_BIRTH_2022,10.8
4000,AZ,Arizona,R_BIRTH_2023,10.6
4000,AZ,Arizona,R_DEATH_2021,11.1
4000,AZ,Arizona,R_DEATH_2022,10.9
4000,AZ,Arizona,R_DEATH_2023,9.6
4000,AZ,Arizona,R_NATURAL_CHG_2021,-0.6
4000,AZ,Arizona,R_NATURAL_CHG_2022,-0.1
4000,AZ,Arizona,R_NATURAL_CHG_2023,1
4000,AZ,Arizona,R_INTERNATIONAL_MIG_2021,1.1
4000,AZ,Arizona,R_INTERNATIONAL_MIG_2022,3
4000,AZ,Arizona,R_INTERNATIONAL_MIG_2023,2.9
